Day,SuicideAttemptCount,SocialMediaDiscussion
1,0,0.0
2,0,0.0
3,3,0.0
4,3,0.0
5,7,0.41947119075951833
6,7,36.07828750297917
7,7,19.944043064533307
8,5,29.383522870211614
9,6,20.958870947256834
10,4,11.63466222741646
11,9,10.47416039382394
12,6,14.680706624565188
13,1,8.307754231877318
14,13,14.461898760601139
15,6,59.1996013433695
16,8,33.00751174282443
17,4,18.204589751535053
18,15,55.88474762452542
19,9,31.409420578051105
20,12,62.77752187669639
21,11,41.309330323708224
22,5,20.654665161854112
23,10,10.695982696084329
24,7,7.435142207423034
25,11,20.086145503474523
26,16,34.54058023521441
27,12,38.609638092533665
28,12,22.56242389011863
29,11,36.4663364907948
30,8,43.04577293057419
31,5,27.88222587537969
32,18,30.186501207197743
33,17,30.3136717736055
34,17,114.07343333360146
35,16,69.26845049357341
36,13,181.09054979361787
37,12,95.59255791280762
38,19,52.66146869232137
39,12,30.30118367570351
40,12,22.067656361454855
41,12,18.668222988236927
42,13,13.403463464613756
43,18,28.474932932502217
44,15,41.393561562214494
45,13,61.56166697722074
46,19,75.68226694938623
47,14,55.765803500266806
48,18,33.16873386016471
49,19,36.98352690908605
50,11,22.39018600043234
51,13,15.233452907391873
52,11,8.378312678897746
53,15,16.365575187360633
54,21,15.602963394251958
55,16,17.32596812056488
56,15,50.955804090352885
57,9,29.95555172100954
58,22,37.459062896288664
59,18,34.04204262379542
60,14,24.361626787454544
61,14,27.722294363100254
62,10,79.68053603905815
63,19,46.44228313934891
64,10,44.282183882789525
65,16,40.2401431313727
66,14,258.7975131080257
67,22,144.86326471922808
68,13,74.68537182129266
69,16,47.73089820749507
70,19,123.90298062201376
71,12,74.60814314836111
72,12,47.44643505639467
73,16,38.584030895904306
74,16,25.228374620843983
75,27,82.03025715277133
76,10,44.286132606674265
77,17,44.997213370199454
78,12,65.5712225077683
79,22,52.1437101058351
80,22,45.652668408578855
81,21,33.82682633580839
82,17,18.869723962632392
83,27,37.76687522622948
84,8,21.59377176877599
85,18,34.3173880292915
86,15,32.01740276184752
87,13,19.701016643570842
88,8,15.302683178566271
