"E","tau","L","rho"
"2","2","100","0.6735805826521177"
"2","2","100","0.7105350000066374"
"2","2","100","0.7239516365335827"
"2","2","100","0.7580149342750304"
"2","2","100","0.7502640655022615"
"2","2","100","0.7948938534532339"
"2","2","100","0.7806696959907509"
"2","2","100","0.7216880435961787"
"2","2","100","0.7577278290873062"
"2","2","100","0.8202664230195804"
"2","2","100","0.7558234587437916"
"2","2","100","0.732954024369253"
"2","2","100","0.7161500801723553"
"2","2","100","0.8022019581631912"
"2","2","100","0.7686225727456855"
"2","2","100","0.7279975916274634"
"2","2","100","0.7695905604552767"
"2","2","100","0.785650482429907"
"2","2","100","0.749219718989657"
"2","2","100","0.7407466094921126"
"2","2","100","0.7641325165505571"
"2","2","100","0.7525548435539682"
"2","2","100","0.798284133701599"
"2","2","100","0.743934001370231"
"2","2","100","0.8073885308132337"
"2","2","100","0.7225526820715186"
"2","2","100","0.7471193231143083"
"2","2","100","0.7684053079033171"
"2","2","100","0.7874376182179156"
"2","2","100","0.7843480286197542"
"2","2","100","0.7737180502020877"
"2","2","100","0.7203328291481714"
"2","2","100","0.7636674641551396"
"2","2","100","0.7110376993140975"
"2","2","100","0.7513310912367873"
"2","2","100","0.7226456491608404"
"2","2","100","0.7995405855591053"
"2","2","100","0.8132546254712927"
"2","2","100","0.7610203955141903"
"2","2","100","0.7808590013515757"
"2","2","100","0.7385047660306332"
"2","2","100","0.7967396065626643"
"2","2","100","0.751675921607412"
"2","2","100","0.8102819590575352"
"2","2","100","0.7387448291787794"
"2","2","100","0.750849611435472"
"2","2","100","0.8080390717086272"
"2","2","100","0.7703112974500549"
"2","2","100","0.7729074683428795"
"2","2","100","0.7342869981791437"
"2","2","200","0.792331914617028"
"2","2","200","0.8040528519006249"
"2","2","200","0.823739154247464"
"2","2","200","0.8731574593532224"
"2","2","200","0.7966491931786835"
"2","2","200","0.8167697418904869"
"2","2","200","0.7141903448302583"
"2","2","200","0.8128112390078197"
"2","2","200","0.8004296998585575"
"2","2","200","0.8738192599066434"
"2","2","200","0.8267938895902909"
"2","2","200","0.7837770781933047"
"2","2","200","0.8605207141425131"
"2","2","200","0.8432763995735486"
"2","2","200","0.796128801174994"
"2","2","200","0.8268833855861829"
"2","2","200","0.8300879444561053"
"2","2","200","0.7769635791310031"
"2","2","200","0.8024935629131399"
"2","2","200","0.7663973114159391"
"2","2","200","0.8557459724592514"
"2","2","200","0.8235674202376294"
"2","2","200","0.7813462784687085"
"2","2","200","0.8121927030043556"
"2","2","200","0.8115380392617112"
"2","2","200","0.8355669192745016"
"2","2","200","0.7776520200779918"
"2","2","200","0.7933446236517807"
"2","2","200","0.7256637262473496"
"2","2","200","0.835492200095378"
"2","2","200","0.7679743176625413"
"2","2","200","0.7518508529906249"
"2","2","200","0.8042558899404995"
"2","2","200","0.7907653160037744"
"2","2","200","0.870992446388978"
"2","2","200","0.796132053067902"
"2","2","200","0.7299560997894624"
"2","2","200","0.7713699899530138"
"2","2","200","0.8372483977754345"
"2","2","200","0.7971137446121055"
"2","2","200","0.7405009636472089"
"2","2","200","0.82788864472109"
"2","2","200","0.8299651449550044"
"2","2","200","0.8227554230030417"
"2","2","200","0.8029058939348416"
"2","2","200","0.7513555754477077"
"2","2","200","0.7855995031220991"
"2","2","200","0.8391892981845702"
"2","2","200","0.8316428915055447"
"2","2","200","0.8220668460808639"
"2","2","300","0.8159856992912299"
"2","2","300","0.7721979727547585"
"2","2","300","0.8159263440226355"
"2","2","300","0.8341596839852355"
"2","2","300","0.841577384240662"
"2","2","300","0.8321772244486697"
"2","2","300","0.8494689781373451"
"2","2","300","0.8046127133939674"
"2","2","300","0.8464817725961699"
"2","2","300","0.8302653867748823"
"2","2","300","0.8318039731017355"
"2","2","300","0.8532870551844846"
"2","2","300","0.840452645013746"
"2","2","300","0.8785902514248077"
"2","2","300","0.8648653435317294"
"2","2","300","0.8416220147478303"
"2","2","300","0.8284658243245172"
"2","2","300","0.8578307265937498"
"2","2","300","0.843894599317226"
"2","2","300","0.7916064181762761"
"2","2","300","0.8120020682651049"
"2","2","300","0.7978217003245401"
"2","2","300","0.9041778436893667"
"2","2","300","0.8084610651186828"
"2","2","300","0.8294614048506123"
"2","2","300","0.8142454579571333"
"2","2","300","0.8263997036358569"
"2","2","300","0.8105378080539085"
"2","2","300","0.8142537136386441"
"2","2","300","0.8438976871455169"
"2","2","300","0.8348250105098444"
"2","2","300","0.8479873697249628"
"2","2","300","0.7915434032342378"
"2","2","300","0.8852341770527712"
"2","2","300","0.8469930279882814"
"2","2","300","0.9075682561945043"
"2","2","300","0.7984107466475359"
"2","2","300","0.8266933014439701"
"2","2","300","0.8323700889841057"
"2","2","300","0.8623026802742366"
"2","2","300","0.8600532743002619"
"2","2","300","0.8237758744694399"
"2","2","300","0.7991025134668818"
"2","2","300","0.8156045225713253"
"2","2","300","0.8548897424324441"
"2","2","300","0.8757801638985911"
"2","2","300","0.8428508400474828"
"2","2","300","0.8438344165037638"
"2","2","300","0.8600882401176209"
"2","2","300","0.7903834870926139"
"2","2","400","0.9001000236309658"
"2","2","400","0.8688069573072633"
"2","2","400","0.8187995010348086"
"2","2","400","0.8319890564840001"
"2","2","400","0.9021900470120255"
"2","2","400","0.9008242425990431"
"2","2","400","0.8121766532216858"
"2","2","400","0.8695192760413909"
"2","2","400","0.8446646741451618"
"2","2","400","0.8152971774456164"
"2","2","400","0.8540797086702154"
"2","2","400","0.8137132767181008"
"2","2","400","0.8764018660736547"
"2","2","400","0.8936342331864494"
"2","2","400","0.9115939795006517"
"2","2","400","0.8481060809601642"
"2","2","400","0.7589019177262893"
"2","2","400","0.8260147403265511"
"2","2","400","0.8573160696642873"
"2","2","400","0.8730899170877422"
"2","2","400","0.8415700561786577"
"2","2","400","0.8489939840490924"
"2","2","400","0.8478773016841922"
"2","2","400","0.8765635866418344"
"2","2","400","0.9281430614781248"
"2","2","400","0.8597647499188965"
"2","2","400","0.8434899616897221"
"2","2","400","0.7844163239713258"
"2","2","400","0.8139129222336943"
"2","2","400","0.8629426523753655"
"2","2","400","0.8492707795180212"
"2","2","400","0.8567419157524738"
"2","2","400","0.8717840508767419"
"2","2","400","0.8907382780997847"
"2","2","400","0.8790900501075893"
"2","2","400","0.804016002096141"
"2","2","400","0.8072375775395545"
"2","2","400","0.8682796318154961"
"2","2","400","0.8686398047423899"
"2","2","400","0.8307376473737825"
"2","2","400","0.9153292926969676"
"2","2","400","0.8392344396824822"
"2","2","400","0.8286044879090737"
"2","2","400","0.7837685571100176"
"2","2","400","0.8407379520536313"
"2","2","400","0.8595624797901613"
"2","2","400","0.808209843091998"
"2","2","400","0.8188047229714952"
"2","2","400","0.8746548273821768"
"2","2","400","0.7776802689319965"
"2","2","500","0.7658158164677552"
"2","2","500","0.9433226478229897"
"2","2","500","0.8703145243229452"
"2","2","500","0.8495225412323093"
"2","2","500","0.842158881272719"
"2","2","500","0.8820239334809503"
"2","2","500","0.8544012258827965"
"2","2","500","0.8631849913693995"
"2","2","500","0.8394095392852814"
"2","2","500","0.9003942855467223"
"2","2","500","0.918559394874352"
"2","2","500","0.8939913287009936"
"2","2","500","0.8509202229646149"
"2","2","500","0.9007106780330763"
"2","2","500","0.9389103745116365"
"2","2","500","0.851374215657998"
"2","2","500","0.875883642884315"
"2","2","500","0.8374394902647145"
"2","2","500","0.8746895392747615"
"2","2","500","0.8144834095695614"
"2","2","500","0.8197150112015503"
"2","2","500","0.8643066461166168"
"2","2","500","0.8301941928853375"
"2","2","500","0.900449947623783"
"2","2","500","0.8787197004090973"
"2","2","500","0.8491244053623546"
"2","2","500","0.8954567408872922"
"2","2","500","0.8384036229867405"
"2","2","500","0.8392609297565183"
"2","2","500","0.884427203400438"
"2","2","500","0.9016574680570084"
"2","2","500","0.8763152015734357"
"2","2","500","0.8588060082946417"
"2","2","500","0.8740801349857246"
"2","2","500","0.9076439011139484"
"2","2","500","0.8407500611695357"
"2","2","500","0.9009153897242943"
"2","2","500","0.8395227546584035"
"2","2","500","0.9031601759275775"
"2","2","500","0.85516982397527"
"2","2","500","0.8544959928499823"
"2","2","500","0.8882399269669844"
"2","2","500","0.8752861833833993"
"2","2","500","0.896995001942407"
"2","2","500","0.9100115866239127"
"2","2","500","0.8597649581006392"
"2","2","500","0.8765586011963272"
"2","2","500","0.9077611689267974"
"2","2","500","0.8205215499373699"
"2","2","500","0.8536631447538456"
"2","2","600","0.9068798263011789"
"2","2","600","0.8467045363312186"
"2","2","600","0.8429236972987354"
"2","2","600","0.9120415048327489"
"2","2","600","0.9015606831260293"
"2","2","600","0.8886328387048378"
"2","2","600","0.941895707933086"
"2","2","600","0.8655705256626595"
"2","2","600","0.9103593152927149"
"2","2","600","0.9191309756976384"
"2","2","600","0.9138054223951191"
"2","2","600","0.89085740336688"
"2","2","600","0.8576784927049936"
"2","2","600","0.8969637861616213"
"2","2","600","0.8750206952158209"
"2","2","600","0.9131110763783983"
"2","2","600","0.8856101146816258"
"2","2","600","0.8630770333349529"
"2","2","600","0.8794347012163921"
"2","2","600","0.8794526572496308"
"2","2","600","0.8960954073948424"
"2","2","600","0.8594126752455608"
"2","2","600","0.9275501972575515"
"2","2","600","0.9067122216457157"
"2","2","600","0.9217432659583957"
"2","2","600","0.891893428288814"
"2","2","600","0.8528034539312087"
"2","2","600","0.8616560827391447"
"2","2","600","0.8820075106841889"
"2","2","600","0.8727260657810887"
"2","2","600","0.8956503327788353"
"2","2","600","0.9320278505977393"
"2","2","600","0.8916237673080685"
"2","2","600","0.9315112235400828"
"2","2","600","0.8429888857187903"
"2","2","600","0.8636886551056057"
"2","2","600","0.8640876846310543"
"2","2","600","0.9123611184311917"
"2","2","600","0.8663152381944885"
"2","2","600","0.9205695263257425"
"2","2","600","0.9124661732754514"
"2","2","600","0.9031904955749882"
"2","2","600","0.9192045345822702"
"2","2","600","0.9271177312207978"
"2","2","600","0.9013141573083265"
"2","2","600","0.9236318222783697"
"2","2","600","0.8700868717287561"
"2","2","600","0.8611982114372331"
"2","2","600","0.9139460479941088"
"2","2","600","0.893074545675178"
"2","2","700","0.8957121750279183"
"2","2","700","0.8935373307502861"
"2","2","700","0.889870650406825"
"2","2","700","0.9293540300727335"
"2","2","700","0.949828990611894"
"2","2","700","0.869132257651328"
"2","2","700","0.9190089398916457"
"2","2","700","0.9510798430584155"
"2","2","700","0.9057759161187028"
"2","2","700","0.8666034085026362"
"2","2","700","0.892888099663876"
"2","2","700","0.9240620216756696"
"2","2","700","0.872698348797849"
"2","2","700","0.933113433301747"
"2","2","700","0.9239452595578891"
"2","2","700","0.8763860326856695"
"2","2","700","0.8419559602794012"
"2","2","700","0.8725713480586285"
"2","2","700","0.9016748548321253"
"2","2","700","0.9337783040014342"
"2","2","700","0.9035938417750121"
"2","2","700","0.9110403881441529"
"2","2","700","0.8614571198933838"
"2","2","700","0.945528890855093"
"2","2","700","0.8686360505105949"
"2","2","700","0.9389894099811417"
"2","2","700","0.9128717009914351"
"2","2","700","0.859351108952464"
"2","2","700","0.9121535800259342"
"2","2","700","0.8152787111207845"
"2","2","700","0.9024628779216946"
"2","2","700","0.9180270543786085"
"2","2","700","0.9613117853136588"
"2","2","700","0.895511668771269"
"2","2","700","0.9048807502038709"
"2","2","700","0.9380495424278524"
"2","2","700","0.861114784412924"
"2","2","700","0.9431744946059307"
"2","2","700","0.92613758639429"
"2","2","700","0.8452020015590687"
"2","2","700","0.9061990133521907"
"2","2","700","0.8937824492729695"
"2","2","700","0.8880696465634077"
"2","2","700","0.9177897415010238"
"2","2","700","0.9447661669029535"
"2","2","700","0.865465465742113"
"2","2","700","0.9289144865133842"
"2","2","700","0.8829625595683657"
"2","2","700","0.8727078550004329"
"2","2","700","0.910066813508134"
"2","2","800","0.9048547680691454"
"2","2","800","0.9603750553113902"
"2","2","800","0.9513983417998768"
"2","2","800","0.9317180719027118"
"2","2","800","0.9342378204108776"
"2","2","800","0.9170769077875194"
"2","2","800","0.9032713238679954"
"2","2","800","0.909220526111553"
"2","2","800","0.9127747282661883"
"2","2","800","0.8898631403793584"
"2","2","800","0.9332908663405867"
"2","2","800","0.8907703137991918"
"2","2","800","0.8815715881250494"
"2","2","800","0.9039110676896487"
"2","2","800","0.9142562769582671"
"2","2","800","0.9254584775807195"
"2","2","800","0.9171125596464146"
"2","2","800","0.9289367756408037"
"2","2","800","0.9227892884048666"
"2","2","800","0.9083848329903247"
"2","2","800","0.9052729674439575"
"2","2","800","0.8854039618166374"
"2","2","800","0.8895445757028407"
"2","2","800","0.905686793810459"
"2","2","800","0.8981904321621127"
"2","2","800","0.8854913039945893"
"2","2","800","0.9262457465286518"
"2","2","800","0.9071770797795816"
"2","2","800","0.910239570132768"
"2","2","800","0.893808619721775"
"2","2","800","0.9159698262661211"
"2","2","800","0.9011203358310294"
"2","2","800","0.9105133421626859"
"2","2","800","0.9411349579884005"
"2","2","800","0.8549440010660597"
"2","2","800","0.9227126650320893"
"2","2","800","0.88562029611644"
"2","2","800","0.9585901817453475"
"2","2","800","0.9629712274628865"
"2","2","800","0.8429099428892808"
"2","2","800","0.9494973186471426"
"2","2","800","0.9151180664458174"
"2","2","800","0.8730708973208159"
"2","2","800","0.8979435662928285"
"2","2","800","0.8957710192152867"
"2","2","800","0.907727681259701"
"2","2","800","0.9413370085894388"
"2","2","800","0.8616141105283271"
"2","2","800","0.9431768693553136"
"2","2","800","0.868051140375423"
