"E","tau","L","rho"
"3","2","100","0.8774389960449934"
"3","2","100","0.8540682350616329"
"3","2","100","0.8134559906749368"
"3","2","100","0.8541451011219192"
"3","2","100","0.7558017882495253"
"3","2","100","0.8135412775935034"
"3","2","100","0.78923005957622"
"3","2","100","0.834159432330563"
"3","2","100","0.7582477144465136"
"3","2","100","0.8706540988356175"
"3","2","100","0.7817211031309526"
"3","2","100","0.850465907412316"
"3","2","100","0.8299666686822771"
"3","2","100","0.7914732868371723"
"3","2","100","0.7943989199078452"
"3","2","100","0.8168423067945999"
"3","2","100","0.7790870628908644"
"3","2","100","0.7577423836570292"
"3","2","100","0.8858608996493221"
"3","2","100","0.8420963810205555"
"3","2","100","0.8258494229983852"
"3","2","100","0.7925842627514185"
"3","2","100","0.8616918299461667"
"3","2","100","0.8258437653911502"
"3","2","100","0.7128941798249137"
"3","2","100","0.7596355567162627"
"3","2","100","0.7640000046374668"
"3","2","100","0.7282519478208168"
"3","2","100","0.8615871465227831"
"3","2","100","0.7952545884826264"
"3","2","100","0.8076502656594704"
"3","2","100","0.8005296568584179"
"3","2","100","0.8788494783149148"
"3","2","100","0.8316389784303785"
"3","2","100","0.8733941541910978"
"3","2","100","0.8064496700368335"
"3","2","100","0.7922933818215615"
"3","2","100","0.8478826801185274"
"3","2","100","0.7792840882942403"
"3","2","100","0.8056625766788036"
"3","2","100","0.840351985476904"
"3","2","100","0.8058642664218862"
"3","2","100","0.8197445557656048"
"3","2","100","0.83598392330115"
"3","2","100","0.7591337925632125"
"3","2","100","0.7603825538258224"
"3","2","100","0.842999935936317"
"3","2","100","0.79096881600447"
"3","2","100","0.8491933835757058"
"3","2","100","0.786577759064635"
"3","2","200","0.8103118442280306"
"3","2","200","0.8506940354876571"
"3","2","200","0.8476280901588809"
"3","2","200","0.8567164262200125"
"3","2","200","0.8440821296917547"
"3","2","200","0.9053191130959887"
"3","2","200","0.8912024231520985"
"3","2","200","0.8512711716061744"
"3","2","200","0.7950254147204363"
"3","2","200","0.8703564656772239"
"3","2","200","0.8527933004466327"
"3","2","200","0.8698194242178422"
"3","2","200","0.8534412877351532"
"3","2","200","0.8244953282087288"
"3","2","200","0.8988960404529547"
"3","2","200","0.8795895916165288"
"3","2","200","0.8942321609150252"
"3","2","200","0.8933486074038032"
"3","2","200","0.8237366486627401"
"3","2","200","0.8425330701711375"
"3","2","200","0.7987952589721921"
"3","2","200","0.8683118853690356"
"3","2","200","0.7787164630733684"
"3","2","200","0.8189023393062136"
"3","2","200","0.8598759610090023"
"3","2","200","0.8535606977591804"
"3","2","200","0.9023207524760886"
"3","2","200","0.8734872263193514"
"3","2","200","0.891273982393193"
"3","2","200","0.8785667279371426"
"3","2","200","0.8623188568813921"
"3","2","200","0.8831939633707202"
"3","2","200","0.828391432452822"
"3","2","200","0.7959031840215753"
"3","2","200","0.8383505253566189"
"3","2","200","0.9208679020616442"
"3","2","200","0.8206955405452652"
"3","2","200","0.8298423939880011"
"3","2","200","0.7508554559586016"
"3","2","200","0.8495996770539628"
"3","2","200","0.8578900192342133"
"3","2","200","0.8409859466087993"
"3","2","200","0.851561247258143"
"3","2","200","0.8547240757236566"
"3","2","200","0.8992930739064283"
"3","2","200","0.9195070758019397"
"3","2","200","0.9267172821575518"
"3","2","200","0.8812147336266843"
"3","2","200","0.8649815087405764"
"3","2","200","0.8214852281739161"
"3","2","300","0.8172937303858337"
"3","2","300","0.9253211377539583"
"3","2","300","0.8784994457799399"
"3","2","300","0.9165009440545985"
"3","2","300","0.8477280993712054"
"3","2","300","0.9746767478466029"
"3","2","300","0.8394989837151959"
"3","2","300","0.9138537395335147"
"3","2","300","0.9277336402988997"
"3","2","300","0.9146292703291345"
"3","2","300","0.9216806565105004"
"3","2","300","0.9188396557072827"
"3","2","300","0.9342917952141603"
"3","2","300","0.9175456866174924"
"3","2","300","0.908471165632869"
"3","2","300","0.898314975979847"
"3","2","300","0.928982429977728"
"3","2","300","0.8601373992805137"
"3","2","300","0.8486543357158555"
"3","2","300","0.7735830938278687"
"3","2","300","0.8179298218078725"
"3","2","300","0.8960219590397431"
"3","2","300","0.9425442533940468"
"3","2","300","0.9311583601953295"
"3","2","300","0.8790908987838827"
"3","2","300","0.9052492763237782"
"3","2","300","0.9084739350129514"
"3","2","300","0.8315403793500045"
"3","2","300","0.8955909254977737"
"3","2","300","0.9176733847901448"
"3","2","300","0.8431978875892503"
"3","2","300","0.9131463921835202"
"3","2","300","0.8363254075112256"
"3","2","300","0.7831299632198666"
"3","2","300","0.8909857359434221"
"3","2","300","0.8897789538584302"
"3","2","300","0.87609035687667"
"3","2","300","0.9510320250478471"
"3","2","300","0.9631077105316758"
"3","2","300","0.9200056991914234"
"3","2","300","0.8529982104070878"
"3","2","300","0.9365556744747936"
"3","2","300","0.929861112393153"
"3","2","300","0.9168488645917932"
"3","2","300","0.8477574960216873"
"3","2","300","0.9218439971516305"
"3","2","300","0.8783843102825017"
"3","2","300","0.9037145745366811"
"3","2","300","0.8794019725389983"
"3","2","300","0.939583882454702"
"3","2","400","0.8681179039464817"
"3","2","400","0.8043230654192568"
"3","2","400","0.9007083638640968"
"3","2","400","0.968665767911393"
"3","2","400","0.9480692318461426"
"3","2","400","0.959935660398272"
"3","2","400","0.8872905914316694"
"3","2","400","0.9325174233198836"
"3","2","400","0.9170645947894928"
"3","2","400","0.9244999967807522"
"3","2","400","0.9045637626592605"
"3","2","400","0.9131616712872916"
"3","2","400","0.8824767244502283"
"3","2","400","0.8618250581139879"
"3","2","400","0.9354384531731739"
"3","2","400","0.9373685498214419"
"3","2","400","0.9331074799064506"
"3","2","400","0.9727885480495277"
"3","2","400","0.8714501863816635"
"3","2","400","0.9541743331913501"
"3","2","400","0.9303214048706248"
"3","2","400","0.9494847623446211"
"3","2","400","0.8523512171910618"
"3","2","400","0.9165375896275904"
"3","2","400","0.9368987636111253"
"3","2","400","0.9683067371659568"
"3","2","400","0.9518759402471985"
"3","2","400","0.9111196521588832"
"3","2","400","0.9396791668139526"
"3","2","400","0.9013100518274749"
"3","2","400","0.9016861236192842"
"3","2","400","0.9263083224699044"
"3","2","400","0.900912686663476"
"3","2","400","0.9088783570156804"
"3","2","400","0.9445134378543508"
"3","2","400","0.9094769821388066"
"3","2","400","0.9330435168864089"
"3","2","400","0.9437558285872601"
"3","2","400","0.9478920028124697"
"3","2","400","0.8200891642151509"
"3","2","400","0.9089965332434742"
"3","2","400","0.9335549386653301"
"3","2","400","0.921405185676237"
"3","2","400","0.9499548690795614"
"3","2","400","0.9460209776911905"
"3","2","400","0.9353966337550863"
"3","2","400","0.9028337897337947"
"3","2","400","0.9277551919046979"
"3","2","400","0.9362625202013988"
"3","2","400","0.9380312599139355"
"3","2","500","0.909416477074308"
"3","2","500","0.9521064345427029"
"3","2","500","0.970015710576663"
"3","2","500","0.9587514648337049"
"3","2","500","0.952485622730849"
"3","2","500","0.9538590724085647"
"3","2","500","0.8849250368498301"
"3","2","500","0.970960225234719"
"3","2","500","0.9445171320722832"
"3","2","500","0.9797015835541927"
"3","2","500","0.9422660468833299"
"3","2","500","0.97967453452158"
"3","2","500","0.9354148782340939"
"3","2","500","0.9704411577979286"
"3","2","500","0.9512805048838419"
"3","2","500","0.9563442281751975"
"3","2","500","0.9367692914562514"
"3","2","500","0.9268989555540306"
"3","2","500","0.9643952384978624"
"3","2","500","0.9413626601915323"
"3","2","500","0.9357369091287349"
"3","2","500","0.9547237135139828"
"3","2","500","0.9609346280879413"
"3","2","500","0.9786911613516425"
"3","2","500","0.9668092365300663"
"3","2","500","0.8932780773073589"
"3","2","500","0.960677986096677"
"3","2","500","0.9853443290473854"
"3","2","500","0.9353193899544271"
"3","2","500","0.9639975738074598"
"3","2","500","0.9029855819078624"
"3","2","500","0.9706552579973337"
"3","2","500","0.9479655728843643"
"3","2","500","0.9262426528977472"
"3","2","500","0.9038118435540456"
"3","2","500","0.9164332841105796"
"3","2","500","0.9383984064210618"
"3","2","500","0.7787914711279923"
"3","2","500","0.9471808784982111"
"3","2","500","0.927095614104163"
"3","2","500","0.9247232091035377"
"3","2","500","0.9661093172221454"
"3","2","500","0.963632829104733"
"3","2","500","0.9864799389164691"
"3","2","500","0.9543719017844889"
"3","2","500","0.8614264041218854"
"3","2","500","0.9650338823041733"
"3","2","500","0.9665903895129679"
"3","2","500","0.9586253524696361"
"3","2","500","0.8636156730199931"
"3","2","600","0.9596854255795697"
"3","2","600","0.9477151701402216"
"3","2","600","0.9218970542466398"
"3","2","600","0.9855688808726936"
"3","2","600","0.9481373941092393"
"3","2","600","0.9314046528267081"
"3","2","600","0.9487322719925766"
"3","2","600","0.9805521230520312"
"3","2","600","0.9414509404711664"
"3","2","600","0.989465349387354"
"3","2","600","0.9391269653037425"
"3","2","600","0.9755416507728099"
"3","2","600","0.9792457950045608"
"3","2","600","0.9630291575398441"
"3","2","600","0.9629124300627989"
"3","2","600","0.9616564964001012"
"3","2","600","0.9492055247709794"
"3","2","600","0.9295019586351616"
"3","2","600","0.9799563351469723"
"3","2","600","0.9251411055212383"
"3","2","600","0.9551963001139856"
"3","2","600","0.9644275986942461"
"3","2","600","0.9753548401992793"
"3","2","600","0.9563614473900565"
"3","2","600","0.9856793415412303"
"3","2","600","0.972577348282967"
"3","2","600","0.9739161337624161"
"3","2","600","0.9745103398452584"
"3","2","600","0.9712606025807589"
"3","2","600","0.9739589027669127"
"3","2","600","0.898094869153586"
"3","2","600","0.9560143707968858"
"3","2","600","0.9512853574627361"
"3","2","600","0.9668487560428343"
"3","2","600","0.9793588974778056"
"3","2","600","0.951371954361916"
"3","2","600","0.9588830534068981"
"3","2","600","0.9197262245662314"
"3","2","600","0.9722564414298654"
"3","2","600","0.9757553263794461"
"3","2","600","0.9839587267776162"
"3","2","600","0.9000185193226695"
"3","2","600","0.914708840118675"
"3","2","600","0.945929814877766"
"3","2","600","0.9568513092968203"
"3","2","600","0.9618649958525479"
"3","2","600","0.9558268063704775"
"3","2","600","0.964670700698765"
"3","2","600","0.9773012570765781"
"3","2","600","0.9624993378351098"
"3","2","700","0.8810012844901189"
"3","2","700","0.9244879216727886"
"3","2","700","0.9771351463213114"
"3","2","700","0.9701641530466377"
"3","2","700","0.9443439461530889"
