E, tau, L, rho
2, 1, 200, 0.0107702
2, 1, 200, 5.80134e-05
2, 1, 200, 0.0104659
2, 1, 200, 0.0083616
2, 1, 200, -0.00139481
2, 1, 200, 0.00425728
2, 1, 200, -0.00386061
2, 1, 200, 0.00199646
2, 1, 200, -0.000409582
2, 1, 200, 0.00625349
2, 1, 200, -0.0011864
2, 1, 200, 0.00888887
2, 1, 200, -0.00522994
2, 1, 200, 0.0106511
2, 1, 200, 0.0128931
2, 1, 200, -0.00149529
2, 1, 200, 0.0152081
2, 1, 200, 0.0038941
2, 1, 200, -0.00278247
2, 1, 200, -0.00542412
2, 1, 200, 0.00145213
2, 1, 200, 0.0103831
2, 1, 200, -0.00590368
2, 1, 200, 0.0251298
2, 1, 200, 0.0164081
2, 1, 200, 0.00101758
2, 1, 200, -0.00117618
2, 1, 200, 0.00657326
2, 1, 200, 0.00775802
2, 1, 200, 0.00190519
2, 1, 200, 0.00110756
2, 1, 200, -0.00223637
2, 1, 200, 0.00284257
2, 1, 200, -0.00235813
2, 1, 200, 0.0153949
2, 1, 200, 0.00365613
2, 1, 200, 0.0072935
2, 1, 200, 0.0108593
2, 1, 100, 0.0163643
2, 1, 100, 0.012296
2, 1, 100, -0.0103596
2, 1, 100, -0.000267928
2, 1, 100, -0.0118312
2, 1, 100, 0.00388161
2, 1, 100, 0.0147113
2, 1, 100, 0.00404198
2, 1, 100, 0.00820207
2, 1, 100, -0.00415027
2, 1, 100, 0.000832685
2, 1, 100, -0.00302776
2, 1, 100, -8.41934e-05
2, 1, 100, -0.00187768
2, 1, 100, 0.0119707
2, 1, 100, -0.00224784
2, 1, 100, 0.022652
2, 1, 100, -0.00931972
2, 1, 100, 0.000180191
2, 1, 100, -0.00193966
2, 1, 100, -0.00849632
2, 1, 100, -0.00528294
2, 1, 100, 0.0169406
2, 1, 100, -0.00804429
2, 1, 100, 0.00933776
2, 1, 100, 0.0164108
2, 1, 100, -0.0038103
2, 1, 100, 0.0155043
2, 1, 100, -0.0055483
2, 1, 100, 0.0233389
2, 1, 100, -0.00125924
2, 1, 100, 0.00866366
2, 1, 100, 0.0118869
2, 1, 100, -0.0105177
2, 1, 100, 0.0022222
2, 1, 100, -0.00342655
2, 1, 100, 0.0119408
2, 1, 100, 0.000207855
2, 1, 100, 0.0060341
2, 1, 100, 0.00824699
2, 1, 100, 0.00604264
2, 1, 100, -0.00749381
2, 1, 100, 0.0032107
2, 1, 100, -0.00687897
2, 1, 100, 0.0188898
2, 1, 100, -0.00377925
2, 1, 100, 0.00870789
2, 1, 100, 0.0073434
2, 1, 100, 0.00672477
2, 1, 100, 0.014651
2, 1, 100, 0.00423896
2, 1, 100, 0.00192717
2, 1, 100, 0.00797632
2, 1, 100, -0.000237431
2, 1, 100, -0.00275513
2, 1, 100, 0.00758875
2, 1, 100, -0.00495613
2, 1, 100, 0.000702331
2, 1, 100, 0.00755101
2, 1, 100, -0.0118687
2, 1, 100, 0.00109727
2, 1, 100, 0.00277789
2, 1, 100, 0.00325872
2, 1, 100, -0.0121938
2, 1, 100, 0.0126668
2, 1, 100, 0.00748834
2, 1, 100, 0.00550867
2, 1, 100, 0.00148637
2, 1, 100, -3.21633e-05
2, 1, 100, 0.000733675
2, 1, 100, -0.00237534
2, 1, 100, -0.00765711
2, 1, 100, 0.0139869
2, 1, 100, 0.0087312
2, 1, 100, -0.00751737
2, 1, 100, 0.00656502
2, 1, 100, -0.00421454
2, 1, 100, 0.00451332
2, 1, 100, 0.00297435
2, 1, 100, 0.00205401
2, 1, 100, 0.00332126
2, 1, 100, -0.00224425
2, 1, 100, 0.0010206
2, 1, 100, 0.0100083
2, 1, 100, 0.00448234
2, 1, 100, 0.00394708
2, 1, 100, 0.0074356
2, 1, 100, 0.0031732
2, 1, 100, 0.010198
2, 1, 100, -0.00354073
2, 1, 100, 0.00290469
2, 1, 100, -0.0149027
2, 1, 100, -0.00171222
2, 1, 100, 0.0115095
2, 1, 100, 0.00986977
2, 1, 100, 0.00727347
2, 1, 100, -0.000875087
2, 1, 100, 0.0145991
2, 1, 100, 0.010085
2, 1, 100, -0.00301526
2, 1, 100, -0.00482191
2, 1, 100, 0.0175849
2, 1, 100, 0.00882412
2, 1, 100, 0.0152154
2, 1, 100, 0.00867285
2, 1, 100, 0.00457864
2, 1, 100, -0.00711338
2, 1, 100, -0.00620772
2, 1, 100, 0.0114873
2, 1, 100, 0.0176852
2, 1, 100, 0.0081234
2, 1, 100, 0.0119871
2, 1, 100, 0.0104229
2, 1, 100, 0.00277267
2, 1, 100, -0.00614845
2, 1, 100, 0.00706674
2, 1, 100, -0.0131
2, 1, 100, 0.00905973
2, 1, 100, 0.00477283
2, 1, 100, 0.0102341
2, 1, 100, 0.0176023
2, 1, 100, 0.00463811
2, 1, 100, 0.0215421
2, 1, 100, -0.00368951
2, 1, 100, 0.00705281
2, 1, 100, 0.0120856
2, 1, 100, 0.0189894
2, 1, 100, -0.000702795
2, 1, 100, -0.00790494
2, 1, 100, 0.00700043
2, 1, 100, 0.0070293
2, 1, 100, 0.0197369
2, 1, 100, -0.00587212
2, 1, 100, -0.0084691
2, 1, 100, 0.00539877
2, 1, 100, 0.00698341
2, 1, 100, -0.000604033
2, 1, 100, 0.00162143
2, 1, 100, 0.0121964
2, 1, 100, -0.00568861
2, 1, 100, 0.00832662
2, 1, 100, -0.0104813
2, 1, 100, -0.00273347
2, 1, 100, 0.00812923
2, 1, 100, 0.000671805
2, 1, 100, -0.00364408
2, 1, 100, 0.00978454
2, 1, 100, 0.00336798
2, 1, 100, -0.00909042
2, 1, 100, -0.00870784
2, 1, 100, 0.00556252
2, 1, 100, 0.00238636
2, 1, 100, 0.0127809
2, 1, 100, 0.018835
2, 1, 100, -0.0146077
2, 1, 100, 0.0108617
2, 1, 100, 0.00416795
2, 1, 100, -0.00675542
2, 1, 100, 0.00776666
2, 1, 100, 0.00519919
2, 1, 100, 0.00222419
2, 1, 100, -0.0088953
2, 1, 100, 0.00546994
2, 1, 100, 0.00722346
2, 1, 100, 0.00529732
2, 1, 100, -0.00669144
2, 1, 100, -0.00195277
2, 1, 100, 0.0110846
2, 1, 100, -0.00137205
2, 1, 100, -0.00612126
2, 1, 100, 0.00579268
2, 1, 100, -0.00259807
2, 1, 100, 0.0148492
2, 1, 100, 0.00449177
2, 1, 100, -0.0110209
2, 1, 100, 0.0113843
2, 1, 100, 0.0077452
2, 1, 100, 0.0270454
2, 1, 100, -0.00500941
2, 1, 100, 0.019258
2, 1, 100, 0.00816796
2, 1, 100, -0.000279579
2, 1, 100, 0.00312215
2, 1, 100, -0.00622471
2, 1, 100, 0.007622
2, 1, 100, 0.00692475
2, 1, 100, 0.00384039
2, 1, 100, -0.0039705
2, 1, 100, -0.0100221
2, 1, 100, 0.00711127
2, 1, 100, 0.00502049
2, 1, 100, 0.0113266
2, 1, 100, 0.00179783
2, 1, 100, 0.031097
2, 1, 100, 0.00126429
2, 1, 100, 0.00746502
2, 1, 100, -0.00662017
2, 1, 100, 0.00669536
2, 1, 100, 0.00494728
2, 1, 100, -0.012691
2, 1, 100, 0.011543
2, 1, 100, 0.00406692
2, 1, 100, 0.00790293
2, 1, 100, -0.00217093
2, 1, 100, 0.0164598
2, 1, 100, 0.00646473
2, 1, 100, 0.00488213
2, 1, 100, -0.00413225
2, 1, 100, -0.00208141
2, 1, 100, 0.00214465
2, 1, 100, 0.00464795
2, 1, 100, 0.0123385
2, 1, 100, 0.00242295
2, 1, 100, 0.00237057
2, 1, 100, 0.0224585
2, 1, 100, -0.00821273
2, 1, 100, 0.00921461
2, 1, 100, -0.00993383
2, 1, 100, -0.00494477
2, 1, 100, -0.00226617
2, 1, 100, 0.0101737
2, 1, 100, 0.00370762
