E, tau, L, rho
2, 1, 800, 0.761498
2, 1, 800, 0.763356
2, 1, 800, 0.721853
2, 1, 800, 0.76718
2, 1, 800, 0.760495
2, 1, 800, 0.756224
2, 1, 800, 0.755914
2, 1, 800, 0.753805
2, 1, 800, 0.737265
2, 1, 800, 0.738095
2, 1, 800, 0.675063
2, 1, 800, 0.713654
2, 1, 800, 0.73751
2, 1, 800, 0.729466
2, 1, 800, 0.731897
2, 1, 800, 0.745082
2, 1, 800, 0.731684
2, 1, 800, 0.698359
2, 1, 800, 0.743398
2, 1, 800, 0.726184
2, 1, 800, 0.76519
2, 1, 800, 0.695152
2, 1, 800, 0.755266
2, 1, 800, 0.777386
2, 1, 800, 0.70435
2, 1, 800, 0.762888
2, 1, 800, 0.753002
2, 1, 800, 0.733873
2, 1, 800, 0.726496
2, 1, 800, 0.71989
2, 1, 800, 0.759841
2, 1, 800, 0.759781
2, 1, 800, 0.744362
2, 1, 800, 0.786705
2, 1, 800, 0.76249
2, 1, 800, 0.735934
2, 1, 800, 0.779218
2, 1, 800, 0.78734
2, 1, 800, 0.711526
2, 1, 800, 0.702526
2, 1, 800, 0.780858
2, 1, 800, 0.761118
2, 1, 800, 0.736888
2, 1, 800, 0.736403
2, 1, 800, 0.756872
2, 1, 800, 0.774801
2, 1, 800, 0.76602
2, 1, 800, 0.762218
2, 1, 800, 0.755096
2, 1, 800, 0.752512
2, 1, 800, 0.74711
2, 1, 800, 0.761255
2, 1, 800, 0.737655
2, 1, 800, 0.73466
2, 1, 800, 0.75236
2, 1, 800, 0.726049
2, 1, 800, 0.776706
2, 1, 800, 0.695963
2, 1, 800, 0.751042
2, 1, 800, 0.730937
2, 1, 800, 0.692921
2, 1, 800, 0.720454
2, 1, 800, 0.73784
2, 1, 800, 0.759869
2, 1, 800, 0.760333
2, 1, 800, 0.789796
2, 1, 800, 0.738794
2, 1, 800, 0.704539
2, 1, 800, 0.736752
2, 1, 800, 0.732111
2, 1, 800, 0.704335
2, 1, 800, 0.760298
2, 1, 800, 0.714624
2, 1, 800, 0.711222
2, 1, 800, 0.754785
2, 1, 800, 0.71507
2, 1, 800, 0.726629
2, 1, 800, 0.763357
2, 1, 800, 0.689583
2, 1, 800, 0.778382
2, 1, 800, 0.750602
2, 1, 800, 0.756427
2, 1, 800, 0.733528
2, 1, 800, 0.732953
2, 1, 800, 0.724199
2, 1, 800, 0.767497
2, 1, 800, 0.788442
2, 1, 800, 0.745142
2, 1, 800, 0.747539
2, 1, 800, 0.694316
2, 1, 800, 0.728539
2, 1, 800, 0.71145
