E, tau, L, rho
3, 2, 800, 0.995736
3, 2, 800, 0.995999
3, 2, 800, 0.964555
3, 2, 800, 0.988387
3, 2, 800, 0.961364
3, 2, 800, 0.987155
3, 2, 800, 0.995025
3, 2, 800, 0.982361
3, 2, 800, 0.966331
3, 2, 800, 0.961763
3, 2, 800, 0.948386
3, 2, 800, 0.979123
3, 2, 800, 0.99237
3, 2, 800, 0.997713
3, 2, 800, 0.968084
3, 2, 800, 0.970476
3, 2, 800, 0.992917
3, 2, 800, 0.98861
3, 2, 800, 0.979121
3, 2, 800, 0.979568
3, 2, 800, 0.970418
3, 2, 800, 0.993478
3, 2, 800, 0.978505
3, 2, 800, 0.994093
3, 2, 800, 0.989568
3, 2, 800, 0.934601
3, 2, 800, 0.997933
3, 2, 800, 0.957648
3, 2, 800, 0.973851
3, 2, 800, 0.9748
3, 2, 800, 0.991792
3, 2, 800, 0.981944
3, 2, 800, 0.981377
3, 2, 800, 0.98128
3, 2, 800, 0.969822
3, 2, 800, 0.906509
3, 2, 800, 0.986773
3, 2, 800, 0.995653
3, 2, 800, 0.9784
3, 2, 800, 0.989013
3, 2, 800, 0.957028
3, 2, 800, 0.984511
3, 2, 800, 0.961645
3, 2, 800, 0.9638
3, 2, 800, 0.883622
3, 2, 800, 0.995018
3, 2, 800, 0.987546
3, 2, 800, 0.991873
3, 2, 800, 0.99371
3, 2, 800, 0.9601
3, 2, 800, 0.996878
3, 2, 800, 0.97687
3, 2, 800, 0.996163
3, 2, 800, 0.969024
3, 2, 800, 0.936032
3, 2, 800, 0.970259
3, 2, 800, 0.975834
3, 2, 800, 0.988119
3, 2, 800, 0.966384
3, 2, 800, 0.982677
3, 2, 800, 0.995233
3, 2, 800, 0.997398
3, 2, 800, 0.986718
3, 2, 800, 0.977212
3, 2, 800, 0.992057
3, 2, 800, 0.993731
3, 2, 800, 0.98679
3, 2, 800, 0.96618
3, 2, 800, 0.968146
3, 2, 800, 0.99061
3, 2, 800, 0.979753
3, 2, 800, 0.927242
3, 2, 800, 0.962773
3, 2, 800, 0.99634
3, 2, 800, 0.973335
3, 2, 800, 0.967139
3, 2, 800, 0.987372
3, 2, 800, 0.971855
3, 2, 800, 0.967405
3, 2, 800, 0.979911
