E, tau, L, rho
2, 2, 800, 0.887813
2, 2, 800, 0.966575
2, 2, 800, 0.93387
2, 2, 800, 0.941945
2, 2, 800, 0.919461
2, 2, 800, 0.94409
2, 2, 800, 0.94886
2, 2, 800, 0.921613
2, 2, 800, 0.889063
2, 2, 800, 0.929984
2, 2, 800, 0.951615
2, 2, 800, 0.893876
2, 2, 800, 0.944155
2, 2, 800, 0.956933
2, 2, 800, 0.920327
2, 2, 800, 0.879228
2, 2, 800, 0.880742
2, 2, 800, 0.881462
2, 2, 800, 0.907676
2, 2, 800, 0.959049
2, 2, 800, 0.928604
2, 2, 800, 0.832473
2, 2, 800, 0.89709
2, 2, 800, 0.895881
2, 2, 800, 0.912637
2, 2, 800, 0.918754
2, 2, 800, 0.905704
2, 2, 800, 0.916001
2, 2, 800, 0.95103
2, 2, 800, 0.916871
2, 2, 800, 0.881207
2, 2, 800, 0.952571
2, 2, 800, 0.884932
2, 2, 800, 0.83193
2, 2, 800, 0.93759
2, 2, 800, 0.936875
2, 2, 800, 0.924229
2, 2, 800, 0.943419
2, 2, 800, 0.86704
2, 2, 800, 0.923735
2, 2, 800, 0.832041
2, 2, 800, 0.902666
2, 2, 800, 0.933908
2, 2, 800, 0.923255
2, 2, 800, 0.928663
2, 2, 800, 0.930736
2, 2, 800, 0.915813
2, 2, 800, 0.933738
2, 2, 800, 0.900071
2, 2, 800, 0.917783
2, 2, 800, 0.91451
2, 2, 800, 0.956041
2, 2, 800, 0.87034
2, 2, 800, 0.942002
2, 2, 800, 0.854684
2, 2, 800, 0.896624
2, 2, 800, 0.857603
2, 2, 800, 0.887731
2, 2, 800, 0.941943
2, 2, 800, 0.838077
2, 2, 800, 0.879772
2, 2, 800, 0.953545
2, 2, 800, 0.954415
2, 2, 800, 0.88615
2, 2, 800, 0.919362
2, 2, 800, 0.848321
2, 2, 800, 0.901527
2, 2, 800, 0.936497
2, 2, 800, 0.938802
2, 2, 800, 0.943705
2, 2, 800, 0.930327
2, 2, 800, 0.893618
2, 2, 800, 0.95604
2, 2, 800, 0.914649
2, 2, 800, 0.844655
2, 2, 800, 0.966076
2, 2, 800, 0.9371
2, 2, 800, 0.906851
2, 2, 800, 0.890186
2, 2, 800, 0.951057
2, 2, 800, 0.874328
2, 2, 800, 0.873572
2, 2, 800, 0.930067
2, 2, 800, 0.922204
2, 2, 800, 0.902576
2, 2, 800, 0.859976
2, 2, 800, 0.902221
2, 2, 800, 0.948969
2, 2, 800, 0.898075
2, 2, 800, 0.87359
2, 2, 800, 0.955197
2, 2, 800, 0.874006
2, 2, 800, 0.952997
2, 2, 800, 0.904154
2, 2, 800, 0.941697
2, 2, 800, 0.900647
2, 2, 800, 0.928789
2, 2, 800, 0.895052
2, 2, 800, 0.953826
2, 2, 800, 0.908224
2, 2, 800, 0.91748
2, 2, 800, 0.922236
2, 2, 800, 0.915626
2, 2, 800, 0.932978
2, 2, 800, 0.931025
2, 2, 800, 0.918544
2, 2, 800, 0.836342
2, 2, 800, 0.93049
2, 2, 800, 0.897715
2, 2, 800, 0.935829
2, 2, 800, 0.963134
2, 2, 800, 0.935977
2, 2, 800, 0.843092
2, 2, 800, 0.895411
2, 2, 800, 0.957893
2, 2, 800, 0.949928
2, 2, 800, 0.941377
2, 2, 800, 0.899987
2, 2, 800, 0.913583
2, 2, 800, 0.947445
2, 2, 800, 0.948868
2, 2, 800, 0.921235
2, 2, 800, 0.904094
2, 2, 800, 0.902515
2, 2, 800, 0.935138
2, 2, 800, 0.918829
2, 2, 800, 0.891895
2, 2, 800, 0.914687
2, 2, 800, 0.914501
2, 2, 800, 0.898311
2, 2, 800, 0.927948
2, 2, 800, 0.949176
2, 2, 800, 0.889232
2, 2, 800, 0.918976
2, 2, 800, 0.893354
2, 2, 800, 0.95191
2, 2, 800, 0.942633
2, 2, 800, 0.910518
2, 2, 800, 0.884738
