E, tau, L, rho
3, 1, 100, 0.569799
3, 1, 100, 0.716777
3, 1, 100, 0.782319
3, 1, 100, 0.72641
3, 1, 100, 0.749902
3, 1, 100, 0.717363
3, 1, 100, 0.790448
3, 1, 100, 0.72437
3, 1, 100, 0.801654
3, 1, 100, 0.733516
3, 1, 100, 0.755748
3, 1, 100, 0.736625
3, 1, 100, 0.785022
3, 1, 100, 0.74118
3, 1, 100, 0.64278
3, 1, 100, 0.828247
3, 1, 100, 0.697119
3, 1, 100, 0.779933
3, 1, 100, 0.790542
3, 1, 100, 0.74856
3, 1, 100, 0.724714
3, 1, 100, 0.750737
3, 1, 100, 0.707285
3, 1, 200, 0.80181
3, 1, 200, 0.78885
3, 1, 200, 0.807649
3, 1, 200, 0.728133
3, 1, 200, 0.748615
3, 1, 200, 0.777162
3, 1, 200, 0.780556
3, 1, 200, 0.794201
3, 1, 200, 0.816761
3, 1, 200, 0.775475
3, 1, 200, 0.75693
3, 1, 200, 0.763396
3, 1, 200, 0.636403
3, 1, 200, 0.757728
3, 1, 200, 0.786774
3, 1, 200, 0.751837
3, 1, 200, 0.744996
3, 1, 200, 0.794468
3, 1, 200, 0.801618
3, 1, 200, 0.777707
3, 1, 200, 0.781667
3, 1, 200, 0.816804
3, 1, 200, 0.741444
3, 1, 200, 0.755031
3, 1, 200, 0.757917
3, 1, 200, 0.766344
3, 1, 200, 0.80859
3, 1, 200, 0.769089
3, 1, 200, 0.754582
3, 1, 200, 0.791407
3, 1, 200, 0.751171
3, 1, 200, 0.811867
3, 1, 200, 0.769982
3, 1, 200, 0.811107
3, 1, 200, 0.752572
3, 1, 200, 0.820196
3, 1, 200, 0.8297
3, 1, 200, 0.775255
3, 1, 200, 0.847844
3, 1, 200, 0.760826
3, 1, 200, 0.807126
3, 1, 200, 0.766904
3, 1, 200, 0.802786
3, 1, 200, 0.767447
3, 1, 200, 0.781196
3, 1, 200, 0.795764
3, 1, 200, 0.799931
3, 1, 200, 0.796001
3, 1, 200, 0.783562
3, 1, 200, 0.729168
3, 1, 300, 0.79908
3, 1, 300, 0.836371
3, 1, 300, 0.798648
3, 1, 300, 0.803609
3, 1, 300, 0.822133
3, 1, 300, 0.821334
3, 1, 300, 0.781819
3, 1, 300, 0.733118
3, 1, 300, 0.834507
3, 1, 300, 0.810493
3, 1, 300, 0.750514
3, 1, 300, 0.837013
3, 1, 300, 0.832797
3, 1, 300, 0.807452
3, 1, 300, 0.775549
3, 1, 300, 0.835931
3, 1, 300, 0.791682
3, 1, 300, 0.721756
3, 1, 300, 0.780644
3, 1, 300, 0.816397
3, 1, 300, 0.789094
3, 1, 300, 0.778381
3, 1, 300, 0.794302
3, 1, 300, 0.817161
3, 1, 300, 0.784433
3, 1, 300, 0.757542
3, 1, 300, 0.805811
3, 1, 300, 0.775725
3, 1, 300, 0.803114
3, 1, 300, 0.781032
3, 1, 300, 0.725497
3, 1, 300, 0.811924
3, 1, 300, 0.811834
3, 1, 300, 0.746536
3, 1, 300, 0.837286
3, 1, 300, 0.82663
3, 1, 300, 0.801499
3, 1, 300, 0.7975
3, 1, 300, 0.804827
