E, tau, L, rho
2, 1, 200, 0.00226112
2, 1, 200, -0.00340518
2, 1, 200, 0.00825872
2, 1, 200, 0.00821609
2, 1, 200, 0.000897345
2, 1, 200, -0.0029301
2, 1, 200, -0.00253433
2, 1, 200, 0.00870457
2, 1, 200, 0.00587531
2, 1, 200, 0.0106087
2, 1, 200, 0.00193461
2, 1, 200, -0.0017101
2, 1, 200, -0.00778745
2, 1, 200, 0.0178224
2, 1, 200, 0.00147812
2, 1, 200, 0.00543312
2, 1, 200, 0.00118646
2, 1, 200, 0.00550751
2, 1, 200, 0.0242811
2, 1, 200, 0.00751669
2, 1, 200, 0.0120736
2, 1, 200, -0.00280001
2, 1, 200, 0.00977356
2, 1, 200, 0.00585016
2, 1, 200, -0.00681885
2, 1, 200, 0.014447
2, 1, 200, -0.00905374
2, 1, 200, -0.00405762
2, 1, 200, -0.00445649
2, 1, 200, 0.00959435
2, 1, 200, 0.00116093
2, 1, 200, 0.00799623
2, 1, 200, 0.00551369
2, 1, 200, 0.000229488
2, 1, 200, 0.00616024
2, 1, 200, -0.00666102
2, 1, 200, -0.00945463
2, 1, 100, 0.00123372
2, 1, 100, 0.00688401
2, 1, 100, 0.00309641
2, 1, 100, -0.00404135
2, 1, 100, -0.00313543
2, 1, 100, -0.000317351
2, 1, 100, -0.00332525
2, 1, 100, 0.00650113
2, 1, 100, 0.000304508
2, 1, 100, 0.00478253
2, 1, 100, 0.000908648
2, 1, 100, 0.0054747
2, 1, 100, -0.00182595
2, 1, 100, 0.00125683
2, 1, 100, -0.00465112
2, 1, 100, -0.00444218
2, 1, 100, 0.0102544
2, 1, 100, 0.00499937
2, 1, 100, 0.0075162
2, 1, 100, 0.0151086
2, 1, 100, 0.00553089
2, 1, 100, 0.00167451
2, 1, 100, 0.00634893
2, 1, 100, -0.00407546
2, 1, 100, 0.0125136
2, 1, 100, -0.00566615
2, 1, 100, 0.0114692
2, 1, 100, 0.0219252
2, 1, 100, 0.00573047
2, 1, 100, 0.0040377
2, 1, 100, -0.00273023
2, 1, 100, 0.00268642
2, 1, 100, 0.00811711
2, 1, 100, -0.00277896
2, 1, 100, 0.00965236
2, 1, 100, -0.00323946
2, 1, 100, -0.0163698
2, 1, 100, 0.0065819
2, 1, 100, 0.0115616
2, 1, 100, 0.00606074
2, 1, 100, 0.0197705
2, 1, 100, 0.0231242
2, 1, 100, 0.00547297
2, 1, 100, 0.0206486
2, 1, 100, 0.000627962
2, 1, 100, 0.00114462
2, 1, 100, 0.0160588
2, 1, 100, 0.00673567
2, 1, 100, -0.00232722
2, 1, 100, 0.00327013
2, 1, 100, -0.00297955
2, 1, 100, -0.00144917
2, 1, 100, 0.0159508
2, 1, 100, 0.00394815
2, 1, 100, 0.00427987
2, 1, 100, -0.00290072
2, 1, 100, -0.00235283
2, 1, 100, 0.0153732
2, 1, 100, 0.0170053
2, 1, 100, 0.00580237
2, 1, 100, 0.00604062
2, 1, 100, 0.00310043
2, 1, 100, -0.00491851
2, 1, 100, -0.00261685
2, 1, 100, 0.00466964
2, 1, 100, -0.006637
2, 1, 100, -0.00778954
2, 1, 100, 0.00255936
2, 1, 100, 0.0163114
2, 1, 100, -0.00542527
2, 1, 100, 0.00336202
2, 1, 100, 0.0105076
2, 1, 100, -0.0001412
2, 1, 100, -0.0118797
2, 1, 100, 0.0163731
2, 1, 100, 0.0162328
2, 1, 100, 0.0105471
2, 1, 100, 0.0177435
2, 1, 100, 0.0020319
2, 1, 100, 0.000729448
2, 1, 100, 0.00239924
2, 1, 100, 0.00363987
2, 1, 100, -0.00138707
2, 1, 100, 0.0267047
2, 1, 100, 0.000251431
2, 1, 100, 0.00613775
2, 1, 100, 0.00199469
2, 1, 100, 0.0118288
2, 1, 100, 0.00302096
2, 1, 100, 0.000621247
2, 1, 100, -0.00343636
2, 1, 100, -0.0112161
2, 1, 100, -0.00746299
2, 1, 100, 0.00984565
2, 1, 100, -0.0172193
2, 1, 100, 0.0163456
2, 1, 100, -0.00572702
2, 1, 100, -0.00302492
2, 1, 100, -0.00566581
2, 1, 100, 0.00405061
2, 1, 100, -0.00281093
2, 1, 100, 0.00341581
2, 1, 100, 0.0135871
